"","item_id","bundle_index","share","filtered_item_share"
"1",16831203027,1,0.133333333333333,"0.203389830508475"
"2",16831203027,2,0.0592592592592593,"0.135593220338983"
"3",16831203027,3,0.0592592592592593,"0.101694915254237"
"4",16831203027,4,0.0518518518518519,"0.0847457627118644"
"5",16831203027,5,0.0740740740740741,"0.101694915254237"
"6",16831203027,6,0.0666666666666667,"0.0508474576271186"
"7",16831203027,7,0.0222222222222222,"0.0169491525423729"
"8",16831203027,8,0.525925925925926,"0.305084745762712"
"9",16831203027,9,0.00740740740740741,"."
"10",17742069685,1,0.5,"."
"11",17742069685,3,0.5,"."
"12",17898178477,1,0.666666666666667,"."
"13",17898178477,2,0.333333333333333,"."
"14",17947393394,1,0.428571428571429,"."
"15",17947393394,2,0.285714285714286,"."
"16",17947393394,3,0.142857142857143,"0.5"
"17",17947393394,4,0.142857142857143,"0.5"
"18",18028878908,2,1,"1"
"19",18567678803,3,0.5,"."
"20",18567678803,5,0.5,"."
"21",18999829018,1,0.5,"0.5"
"22",18999829018,2,0.5,"0.5"
"23",19540990098,1,0.333333333333333,"."
"24",19540990098,3,0.333333333333333,"."
"25",19540990098,7,0.333333333333333,"."
"26",19999809846,1,0.261904761904762,"0.32"
"27",19999809846,2,0.119047619047619,"0.12"
"28",19999809846,3,0.0952380952380952,"0.16"
"29",19999809846,4,0.119047619047619,"0.04"
"30",19999809846,5,0.0952380952380952,"0.08"
"31",19999809846,6,0.0476190476190476,"0.08"
"32",19999809846,7,0.0476190476190476,"0.04"
"33",19999809846,8,0.0476190476190476,"0.08"
"34",19999809846,9,0.166666666666667,"0.08"
"35",20042241298,1,0.5,"1"
"36",20042241298,9,0.5,"."
"37",20102518135,2,1,"1"
"38",20129813477,1,0.708333333333333,"0.4"
"39",20129813477,3,0.0416666666666667,"."
"40",20129813477,4,0.0833333333333333,"0.4"
"41",20129813477,5,0.0833333333333333,"0.2"
"42",20129813477,6,0.0833333333333333,"."
"43",20167630571,1,0.121495327102804,"0.0454545454545455"
"44",20167630571,2,0.317757009345794,"0.318181818181818"
"45",20167630571,3,0.214953271028037,"0.212121212121212"
"46",20167630571,4,0.205607476635514,"0.242424242424242"
"47",20167630571,5,0.11214953271028,"0.151515151515152"
"48",20167630571,6,0.0280373831775701,"0.0303030303030303"
"49",20373091017,1,1,"."
"50",21269807573,1,0.666666666666667,"1"
"51",21269807573,4,0.333333333333333,"."
"52",21270531816,1,0.7,"."
"53",21270531816,3,0.2,"."
"54",21270531816,9,0.1,"."
"55",22472067030,3,0.5,"."
"56",22472067030,4,0.5,"."
"57",24319152517,3,1,"."
"58",24596036343,1,0.2,"."
"59",24596036343,2,0.2,"."
"60",24596036343,3,0.6,"."
"61",24893184623,1,0.157894736842105,"."
"62",24893184623,2,0.394736842105263,"."
"63",24893184623,3,0.184210526315789,"."
"64",24893184623,4,0.0921052631578947,"."
"65",24893184623,5,0.0526315789473684,"."
"66",24893184623,6,0.0526315789473684,"."
"67",24893184623,7,0.0197368421052632,"."
"68",24893184623,8,0.0460526315789474,"."
"69",25673844634,1,1,"1"
"70",26234488798,1,0.923076923076923,"1"
